Year,Month,DayPeriod,Type,Operator,Location,LocationType,Continent,Country,WaterBodyType,WaterBodyName,FederalSubject,CauseCategory,WeatherCondition,Survivors,FlightPhase,Aboard,Ground,Fatalities,SurvivalSeverity,latitude,longitude,geocoded_info
1908,Sep,Evening,Wright Flyer III,Military - U.S. Army,"Fort Myer, Virginia",Land,North America,United States,Unknown,Unknown,Virginia,Unknown,Unknown,No,Unknown,2,0,1,Partial Survived,38.8943573,-77.0720928,
1912,Jul,Morning,Dirigible,Military - U.S. Navy,"Atlantic City, New Jersey",Watery,Unknown,Unknown,Ocean,Atlantic,Unknown,Unknown,Unknown,No,Unknown,5,0,5,None Survived,39.3642852,-74.4229351,
1913,Aug,Unknown,Curtiss seaplane,Private,"Victoria, British Columbia, Canada",Land,North America,Canada,Unknown,Unknown,British Columbia,Unknown,Unknown,No,Unknown,1,0,1,None Survived,48.4283182,-123.364953,
1913,Sep,Evening,Zeppelin L-1 (airship),Military - German Navy,the North Sea,Watery,Europe,Unknown,Sea,North Sea,Unknown,Weather,Thunderstorm,No,Unknown,20,0,14,Partial Survived,53.8079229,-1.6605355,
1913,Oct,Morning,Zeppelin L-2 (airship),Military - German Navy,"Johannisthal, Germany",Land,Europe,Germany,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,30,0,30,None Survived,52.4469899,13.5235435,
1915,Mar,Night,Zeppelin L-8 (airship),Military - German Navy,"Tienen, Belgium",Land,Europe,Belgium,Unknown,Unknown,Unknown,External,Unknown,No,Unknown,41,0,21,Partial Survived,50.8074825,4.9371775,
1915,Sep,Afternoon,Zeppelin L-10 (airship),Military - German Navy,"Cuxhaven, Germany",Land,Europe,Germany,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,19,0,19,None Survived,53.86878,8.698286,
1916,Jul,Unknown,Schutte-Lanz S-L-10 (airship),Military - German Army,"Jambol, Bulgeria",Land,Europe,Bulgeria,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,20,0,20,None Survived,42.483935,26.5105553,Matched: Jambol
1916,Sep,Night,Zeppelin L-32 (airship),Military - German Navy,"Billericay, England",Land,Europe,England,Unknown,Unknown,Unknown,External,Unknown,No,Unknown,22,0,22,None Survived,51.6284395,0.4218142,
1916,Oct,Night,Zeppelin L-31 (airship),Military - German Navy,"Potters Bar, England",Land,Europe,England,Unknown,Unknown,Unknown,External,Unknown,No,Unknown,19,0,19,None Survived,51.6958889,-0.1848935,
1916,Nov,Unknown,Super Zeppelin (airship),Military - German Army,"Mainz, Germany",Land,Europe,Germany,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,28,0,27,Partial Survived,49.9995205,8.2736253,
1916,Nov,Night,Zeppelin L-34 (airship),Military - German Navy,"West Hartlepool, England",Land,Europe,England,Unknown,Unknown,Unknown,External,Unknown,No,Unknown,20,0,20,None Survived,54.6868261,-1.207832,
1917,Mar,Unknown,Airship,Military - German Army,"Gent, Belgium",Land,Europe,Belgium,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,20,0,20,None Survived,51.0538286,3.7250121,
1917,Mar,Unknown,Schutte-Lanz S-L-9 (airship),Military - German Navy,Northern Germany,Land,Unknown,Northern Germany,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,23,0,23,None Survived,54.6591471,8.9982188,
1917,May,Morning,Zeppelin L-22 (airship),Military - German Navy,"Texel Island, North Sea",Watery,Europe,Unknown,Sea,North Sea,Unknown,Unknown,Unknown,No,Unknown,21,0,21,None Survived,53.0847,4.80775,
1917,Jun,Morning,Zeppelin L-43 (airship),Military - German Navy,"Vlieland Island, North Sea",Watery,Europe,Unknown,Sea,North Sea,Unknown,External,Unknown,No,Unknown,24,0,24,None Survived,53.2606,4.9557,
1917,Aug,Morning,Zeppelin L-23 (airship),Military - German Navy,western Denmark,Land,Unknown,Western Denmark,Unknown,Unknown,Unknown,External,Unknown,No,Unknown,18,0,18,None Survived,-34.9604365,117.3551157,
1917,Oct,Morning,Zeppelin L-44 (airship),Military - German Navy,"Luneville, France",Land,Europe,France,Unknown,Unknown,Unknown,External,Unknown,No,Unknown,18,0,18,None Survived,48.5916164,6.4919563,
1918,Apr,Night,Zeppelin L-59 (airship),Military - German Navy,The Mediterranean,Land,Unknown,The Mediterranean,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,23,0,23,None Survived,22.3860063,114.2722546,
1918,May,Unknown,Zeppelin L-70 (airship),Military - German Navy,"Helgoland Island, Germany",Land,Europe,Germany,Unknown,Unknown,Unknown,External,Unknown,No,Unknown,22,0,22,None Survived,54.1800452,7.8853621,
1918,Aug,Morning,Zeppelin L-53 (airship),Military - German Navy,"Ameland Island, Netherland, North Sea",Watery,Europe,Unknown,Sea,North Sea,Unknown,External,Unknown,No,Unknown,19,0,19,None Survived,53.448327,5.7399613,Matched: Ameland Island
1918,Dec,Unknown,De Havilland DH-4,US Aerial Mail Service,"Elizabeth, New Jersey",Land,North America,United States,Unknown,Unknown,New Jersey,Unknown,Unknown,No,Unknown,1,0,1,None Survived,40.6639916,-74.2107006,
1919,May,Unknown,De Havilland DH-4,US Aerial Mail Service,"Cleveland, Ohio",Land,North America,United States,Unknown,Unknown,Ohio,Unknown,Unknown,No,Unknown,1,0,1,None Survived,41.4996574,-81.6936772,
1919,Jul,Unknown,De Havilland DH-4,US Aerial Mail Service,"Dix Run, Pennsylvania",Land,North America,United States,Unknown,Unknown,Pennsylvania,Unknown,Unknown,No,Unknown,1,0,1,None Survived,40.9078125,-77.9371383,
1919,Oct,Unknown,De Havilland DH-4,Aircraft Transport and Travel,"Newcastle, England",Land,Europe,England,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,1,0,1,None Survived,54.9738474,-1.6131572,
1919,Oct,Unknown,Curtiss R-4LM,US Aerial Mail Service,"Catonsville, Maryland",Land,North America,United States,Unknown,Unknown,Maryland,Unknown,Unknown,No,Unknown,1,0,1,None Survived,39.2609921,-76.7455478,
1919,Oct,Unknown,De Havilland DH.4,US Aerial Mail Service,"Long Valley, New Jersey",Land,North America,United States,Unknown,Unknown,New Jersey,Unknown,Unknown,No,Unknown,1,0,1,None Survived,40.7816813,-74.7592328,
1920,Mar,Unknown,De Havilland DH-4,US Aerial Mail Service,"New Paris, Indiana",Land,North America,United States,Unknown,Unknown,Indiana,Unknown,Unknown,No,Unknown,1,0,1,None Survived,41.5045465,-85.8241113,
1920,Mar,Unknown,De Havilland DH-4,US Aerial Mail Service,"Newark, New Jersey",Land,North America,United States,Unknown,Unknown,New Jersey,Unknown,Unknown,No,Unknown,1,0,1,None Survived,40.735657,-74.1723667,
