Year,Month,DayPeriod,Type,Operator,LocationType,Continent,Country,WaterBodyType,WaterBodyName,FederalSubject,CauseCategory,WeatherCondition,Survivors,FlightPhase,Aboard,Ground,Fatalities,SurvivalSeverity
2000,Aug,Morning,Piper Navajo PA-31/ Piper Seminole PA-44,Patuxent Airways / Private,Land,North America,United States,Unknown,Unknown,New Jersey,Unknown,Unknown,No,Unknown,11,0,11,None Survived
1987,Nov,Evening,de Havilland Canada DHC-4A Caribou,Kenn Borek Air,Watery,North America,Canada,River,"Ross River,",Unknown,Weather,Rain,No,Unknown,4,0,2,Partial Survived
1985,Dec,Morning,McDonnell Douglas DC-8 Super 63PF,Arrow Airways,Land,North America,Canada,Unknown,Unknown,Newfoundland,Unknown,Unknown,No,Takeoff,256,0,256,None Survived
1966,Aug,Unknown,Ilyushin IL-14,Tarom,Land,Europe,Romania,Unknown,Unknown,Unknown,Unknown,Unknown,No,En Route,24,0,24,None Survived
1958,Apr,Evening,de Havilland DH-114 Heron 2D,Aviaco,Land,Europe,Spain,Unknown,Unknown,Unknown,Unknown,Unknown,No,Takeoff,16,0,16,None Survived
1943,Nov,Unknown,Douglas C-47,China National Aviation Corporation,Land,Asia,China,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,3,0,3,None Survived
1956,Nov,Morning,Lockheed 749-79-34 Constellation,Linea Aeropostal Venezolana,Land,South America,Venezuela,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,25,0,25,None Survived
1983,Nov,Unknown,Fokker F-28 Fellowship 2000,Nigeria Airways,Land,Africa,Nigeria,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,72,0,53,Partial Survived
1976,Aug,Morning,Cessna 185,Green River Aviation - Air Taxi,Land,North America,United States,Unknown,Unknown,Utah,Weather,Rain,No,Takeoff,3,0,3,None Survived
1990,Jun,Morning,BAC One-Eleven 528FL,British Airways,Land,Europe,England,Unknown,Unknown,Unknown,Weather,Rain,No,Landing,85,0,0,All Survived
1990,Apr,Afternoon,de Havilland Canada DHC-6 Twin Otter 300,Wideroe's Flyveselksap,Land,Europe,Norway,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,5,0,5,None Survived
1984,Mar,Unknown,Fairchild F-27M,Lloyd Aereo Boliviano,Land,South America,Bolivia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,23,0,23,None Survived
1996,Nov,Morning,Ilyushin IL-76MD,Military - Russian Air Force,Land,Europe,Russia,Unknown,Unknown,Siberia,Unknown,Unknown,No,Takeoff,23,0,23,None Survived
1990,Aug,Night,Bell BHT-206-B Helicopter,Private - Omniflight Helicopters,Land,North America,United States,Unknown,Unknown,Wisconsin,Weather,Fog,No,Unknown,5,0,5,None Survived
1992,Jul,Unknown,Tupolev TU-154B,Georgian Air,Land,Europe,Georgia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,24,4,24,None Survived
1959,Sep,Evening,Saab Scandia 90A-1,VASP,Land,South America,Brazil,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,20,0,20,None Survived
1973,Sep,Unknown,Aerospatiale Caravelle 6N,JAT Yugoslav Airlines,Land,Europe,Yugoslavia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,41,0,41,None Survived
1953,Sep,Morning,Convair CV-240-0,American Airlines,Land,North America,United States,Unknown,Unknown,New York,Weather,Fog,No,Landing,28,0,28,None Survived
1971,Apr,Evening,Beechcraft C35,New England Aviaiton,Land,North America,United States,Unknown,Unknown,New Hampshire,Mechanical,Unknown,No,Takeoff,4,0,4,None Survived
1951,Jan,Afternoon,Martin 202,Northwest Orient Airlines,Land,North America,United States,Unknown,Unknown,Washington,Unknown,Unknown,No,Unknown,10,0,10,None Survived
1947,Aug,Morning,Curtiss C-46E,Slick Airways,Land,North America,United States,Unknown,Unknown,Utah,Weather,Rain,No,En Route,3,0,3,None Survived
1987,Mar,Morning,Antonov AN-26,Military - Afghan Republican Air Force,Land,Asia,Pakistan,Unknown,Unknown,Unknown,External,Unknown,No,Unknown,40,0,40,None Survived
1936,Oct,Unknown,Blackburn B-2,North Sea Aerial and General Transport,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,1,0,1,None Survived
1970,Oct,Unknown,Antonov An-12B,Aeroflot,Land,Europe,Russia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,8,0,8,None Survived
1944,Nov,Evening,Douglas DC-3,Trans Continental and Western Air,Land,North America,United States,Unknown,Unknown,California,Weather,Thunderstorm,No,Unknown,24,0,24,None Survived
1997,Jul,Morning,de Havilland Canada DHC-6 Twin Otter 300,Goroka Air Services,Land,Unknown,Unknown,Unknown,Unknown,New Guinea,Weather,Unknown,No,Unknown,4,0,2,Partial Survived
1975,Sep,Unknown,Tupolev TU-134,Interflug,Land,Unknown,Unknown,Unknown,Unknown,East Germany,Unknown,Unknown,No,Unknown,34,0,26,Partial Survived
1956,Nov,Afternoon,Douglas C-54A-10-DC,Aerovias Guest,Land,North America,Nicaragua,Unknown,Unknown,Unknown,Weather,Rain,No,Landing,25,0,25,None Survived
1996,Sep,Unknown,Embraer EMB-110 Bandeirante,Helisul Taxi Aéreo,Land,South America,Brazil,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,2,0,2,None Survived
1969,Sep,Morning,Douglas C-47,Military - Royal Lao Air Force,Land,Asia,Laos,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,35,0,35,None Survived
1983,Aug,Unknown,Lockheed L-100-30 Hercules,Transamerica Airlines,Land,Africa,Angola,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,7,0,7,None Survived
1958,May,Unknown,Curtiss C-46D,Paraense Transportes Aéreos,Land,South America,Brazil,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,4,0,4,None Survived
1946,Dec,Morning,Douglas DC-3 (C-50A-DO),American Airlines,Land,North America,United States,Unknown,Unknown,Indiana,Unknown,Unknown,No,Unknown,21,0,2,Partial Survived
1989,Nov,Morning,Boeing B-727-21,AVIANCA,Land,South America,Colombia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,107,3,107,None Survived
2002,May,Night,McDonnell Douglas MD-82,China Northern Airlines,Land,Asia,China,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,112,0,112,None Survived
1997,Dec,Afternoon,Boeing B-737-300,SilkAir,Land,Asia,Indonesia,Unknown,Unknown,Unknown,Weather,Clear,No,Unknown,104,0,104,None Survived
1947,Oct,Afternoon,Douglas DC-6,United Air Lines,Land,North America,United States,Unknown,Unknown,Utah,Unknown,Unknown,No,Unknown,53,0,53,None Survived
1981,May,Unknown,Lockheed C-130H Hercules,Military - Egyptian Air Force,Land,Africa,Egypt,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,17,0,17,None Survived
1981,Apr,Morning,Douglas C-47A-5-DK,Airfast Indonesia,Land,Asia,Indonesia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,17,0,15,Partial Survived
1983,Jun,Unknown,Fokker F-28 Fellowship 3000RC,Garuda Indonesia Airlines,Land,Asia,Indonesia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,61,0,3,Partial Survived
1961,Jun,Evening,Curtiss C-46A,Transcontinental,Land,South America,Argentina,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,35,0,24,Partial Survived
1960,Oct,Unknown,Tupolev Tu-104A,Aeroflot,Land,Europe,Russia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,3,0,3,None Survived
1978,Oct,Morning,Beechcraft 65-80,Don Zimmerman - Air Taxi,Land,North America,United States,Unknown,Unknown,New Mexico,Weather,Unknown,No,Unknown,4,0,4,None Survived
1968,Mar,Night,Douglas DC6B,Military - French Air Force,Land,Unknown,Unknown,Unknown,Unknown,Reunion,Unknown,Unknown,No,Takeoff,20,0,19,Partial Survived
1967,Dec,Evening,Bell 47J-2A,Kauai Helicopter - Air Taxi,Land,North America,United States,Unknown,Unknown,Hawaii,Unknown,Unknown,No,Unknown,3,0,2,Partial Survived
1976,Sep,Unknown,Boeing KC-135A,Military - U.S. Air Force,Land,North America,United States,Unknown,Unknown,Michigan,Weather,Rain,No,Unknown,20,0,15,Partial Survived
2001,Nov,Night,Ilyushin 18V,Charter - IRS Aero,Land,Europe,Russia,Unknown,Unknown,Unknown,Weather,Snow,No,Unknown,27,0,27,None Survived
1965,Apr,Night,Beech C-45H,Ortner Air Service - Taxi,Land,North America,United States,Unknown,Unknown,Ohio,Weather,Fog,No,Landing,2,0,2,None Survived
1999,Dec,Unknown,Lockheed C-130H,Military - U.S. Air Force,Land,Asia,Kuwait,Unknown,Unknown,Unknown,Weather,Unknown,No,Unknown,94,0,3,Partial Survived
1982,Feb,Unknown,Douglas DC-6BF,LAC Columbia,Land,South America,Colombia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,4,0,4,None Survived
1981,Jun,Unknown,Douglas DC-3,Taxi Aéreo el Venado,Land,South America,Colombia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,12,0,2,Partial Survived
1926,Aug,Unknown,Bleriot 155,Air Union,Land,Europe,England,Unknown,Unknown,Kent,Mechanical,Unknown,No,Unknown,4,0,4,None Survived
1967,Jun,Morning,Bell UH-1B / Sikorsky CH53A helicopters,Military - U.S. Marine Corps/Military - U.S. Marine Corps,Land,North America,United States,Unknown,Unknown,North Carolina,External,Unknown,No,Unknown,35,0,22,Partial Survived
1949,Aug,Unknown,Bristol 170 Freighter 21,Shell Co of Ecuador,Land,South America,Ecuador,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,34,0,34,None Survived
1970,Jan,Unknown,Antonov AN-24,Aeroflot,Land,Europe,Russia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,34,0,34,None Survived
1992,Jun,Morning,Piper PA-23-250,Caribbean Air Carrier - Air Taxi,Land,Unknown,Unknown,Unknown,Unknown,Virgin Islands,Unknown,Clear,No,Takeoff,4,0,4,None Survived
1978,Nov,Night,McDonnell Douglas DC-8-Super 63CF,Loftleidir IcelandiAirlines,Land,Asia,Sri Lanka,Unknown,Unknown,Unknown,Weather,Rain,No,Landing,262,0,183,Partial Survived
1973,Dec,Unknown,Tupolev TU-124,Aeroflot,Land,Europe,Soviet Union,Unknown,Unknown,Ukraine,Mechanical,Unknown,No,Takeoff,17,0,17,None Survived
1950,Jan,Unknown,Douglas C-54D-DC (DC-4),Military - U.S. Air Force,Land,Unknown,Unknown,Unknown,Unknown,Yukon Territory,Unknown,Unknown,No,Unknown,44,0,44,None Survived
1972,Sep,Unknown,Shorts SC-7 Skyvan 3-300,Ansett Airlines of Papua New Guinea,Land,Unknown,New Guinea,Unknown,Unknown,Papua,Unknown,Unknown,No,Unknown,4,0,4,None Survived
2000,Jul,Morning,GAF Nomad N-22C,Military - Philippine Air Force,Land,Asia,Philippines,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,15,0,14,Partial Survived
1960,Jul,Afternoon,Fairchild C-119G,Military - Royal Belgian Air Force,Land,Unknown,Unknown,Unknown,Unknown,Zaire,Mechanical,Rain,No,Unknown,41,0,37,Partial Survived
1960,Sep,Morning,Douglas DC-6AB,World Airways,Land,Unknown,Mariana Islands,Unknown,Unknown,Guam,Unknown,Unknown,No,Unknown,94,0,80,Partial Survived
1959,Apr,Unknown,Avro 688 Super Trader,Air Charter,Land,Europe,Turkey,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,12,0,12,None Survived
1928,Jul,Unknown,Vickers 74 Vulcan,Imperial Airways,Land,Europe,England,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,4,0,4,None Survived
1962,Mar,Unknown,Douglas DC-6B,Societa Aerea Mediterranea,Land,Europe,Italy,Unknown,Unknown,Unknown,Unknown,Unknown,No,En Route,5,0,5,None Survived
2002,May,Afternoon,BAC One-Eleven 525FT,EAS Airlines (Executive Airline Services),Land,Africa,Nigeria,Unknown,Unknown,Unknown,Mechanical,Unknown,No,Takeoff,77,75,74,Partial Survived
1952,Mar,Unknown,Douglas C-47A-35-DL,Philippine Air Lines,Land,Asia,Philippines,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,3,0,3,None Survived
1942,Mar,Unknown,Douglas DC-3,KNILM,Land,Oceania,Australia,Unknown,Unknown,Unknown,External,Unknown,No,Unknown,12,0,8,Partial Survived
1960,Apr,Evening,Curtiss C-46,Lloyd Aereo Colombiano,Land,South America,Colombia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,51,0,37,Partial Survived
1956,Jan,Unknown,Douglas C-47,Air France,Land,Europe,France,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,3,0,3,None Survived
